Model,Stage,Accuracy,Precision,Recall,ROC-AUC
Logistic Regression,A · Powerplay only,0.623,0.629,0.603,0.668
Logistic Regression,B · + Middle overs,0.671,0.676,0.658,0.743
Logistic Regression,C · Full innings,0.692,0.706,0.658,0.756
